"","nom","nb_arbre","duree","nb_jour","poi_count","ligne_count","poly_count"
"366","Vinber",167,1694,5,1584,0,797
"367","olivier_griffet_83660_carnoules",166,720,10,1548,125,3012
"368","Perin",166,720,10,550,45,538
"369","xyzspain",166,0,1,301,5,30
"370","Nocarto",165,364,34,1621,1039,5794
"371","phd0",165,57,12,1417,22,1034
"372","Pasfan",162,14,11,305,19,193
"373","Meinew",161,30,6,334,40,1698
"374","JMGLV",160,1361,4,489,0,9711
"375","mont1",160,354,15,3568,1671,43660
"376","waterced",160,30,3,200,1,576
"377","Cascafico",159,0,1,179,1,1
"378","goclem",159,117,6,222,0,114
"379","moccand",159,2,3,240,5,23
"380","hubert08",157,1688,18,989,4,906
"381","Julien Thébaud",157,547,10,746,19,6032
"382","TSF Cameroun 2015",157,1,2,406,2,1370
"383","Xadu",156,877,22,783,4,275
"384","pejise1",155,1,2,189,0,113
"385","X-Javier",155,1970,18,1167,57,968
"386","blef",154,268,13,2131,332,1028
"387","aymericpathier",151,177,11,990,12,648
"388","LLAQWA",151,805,9,178,0,2693
"389","Anakin1976",149,906,29,746,104,1000
"390","Goffredo",149,703,12,414,12,215
"391","jacobjay",148,25,3,267,23,86
"392","philippekerla",148,1736,5,3500,103,2726
"393","Marcel Herault",147,40,6,189,1,508
"394","Maxime Lorant",147,1044,43,3742,220,3580
"395","MCollar",147,7,2,212,1,5
"396","Secouss",147,548,3,197,4,42
"397","mides_import",146,1876,3,251,2,81540
"398","Test360",146,54,5,3147,608,7908
"399","Alex-7",144,2111,8,3733,2,539
"400","JulienDeMetz",144,242,4,284,95,508
"401","tuxayo",144,1990,10,2648,150,3056
"402","Laurent Magréault",143,488,24,1134,235,2256
"403","Claude1991",142,10,2,142,0,64
"404","brelevenix",139,1703,9,3080,71,59573
"405","Syracuse",137,0,1,156,0,74
"406","Hugo-D",136,94,6,169,31,102
"407","Isa35",136,0,1,144,0,17
"408","ylark",136,2168,13,6631,118,8837
"409","forlax_12",135,212,5,466,5,269
"410","Robin Chubret",135,257,13,306,139,636
"411","Sylvain59",133,2593,9,1422,469,4771
"412","AL68",132,956,16,3357,96,2630
"413","rza31",132,707,6,979,25,7817
"414","hajo",131,0,1,131,0,0
"415","TubezlobWD",130,1,2,186,4,115
"416","jerome92370",129,521,22,7660,579,2386
"417","Raphaël Cellard",129,110,10,1392,101,2014
"418","MarcoR",128,1079,10,621,28,585
"419","AJA21",127,980,15,17903,2249,8373
"420","Marcussacapuces91",127,2911,21,63984,4722,388281
"421","bdoin",125,85,13,1603,1702,2128
"422","guillaume W",124,0,1,202,96,7436
"423","Margot Chrétien",124,796,14,613,1,1968
"424","Philippe Jarry",124,1211,7,291,10,137
"425","mikld",123,1029,10,278,10,386
"426","Milou262H",123,164,4,145,18,75
"427","Gwentux",122,2555,21,1788,140,13769
"428","JPERR",122,11,2,163,20,343
"429","Thoyard",122,229,7,143,1,55
"430","Anaximandre",121,777,14,794,16,211
"431","mdk",121,1422,14,1826,75,2641
"432","nicolas rouilly",121,6,5,138,0,103
"433","Christophe-94",120,15,7,230,141,4438
"434","jgd16",119,1441,16,795,43,3940
"435","sergio7826",119,980,7,5186,679,275556
"436","SylvainGaillard",119,189,5,3542,118,2633
"437","Anonix35",118,752,26,1607,591,724
"438","Julien_N",118,917,14,11087,277,47998
"439","absinthologue",117,1757,11,1251,344,674
"440","Séverin Renard",117,105,9,150,18,21
"441","DF45",116,1683,49,4187,431,91385
"442","EddieJ",116,1726,16,7019,70,9007
"443","lapinos03",116,1256,3,7151,341,3792
"444","awikatchikaen",115,52,3,2660,215,12528
"445","manutor",115,916,10,1184,321,379
"446","midlandsdave",115,6,3,550,489,3361
"447","romain lalande",115,1042,7,326,1,286
"448","Trizek",115,1781,10,736,268,851
"449","Unai Zalakain",115,17,3,256,0,190
"450","YouHou65",115,325,3,413,89,15128
"451","Caetwyn",114,198,6,163,0,1799
"452","osm_saint-louis",114,139,12,470,92,980
"453","philh-591",114,645,21,991,155,83971
"454","GeoVZ",113,0,1,165,47,47
"455","GillesBerlin",112,22,7,605,7,658
"456","Lilaxe",112,1,2,130,1,11
"457","Marival",112,101,7,349,2,191
"458","kropcheck",111,656,7,643,11,12607
"459","Marcel64121",111,106,8,1076,179,1114
"460","Stéphane ROLLE",111,2339,3,344,6,823
"461","Fengy",110,206,8,493,26,723
"462","Mickanside",110,1193,4,132,19,69
"463","GromNaN",109,1062,3,183,1,47
"464","VIGNERON",109,1732,13,202,0,374
"465","wilda69",109,3326,62,2219,385,1906
"466","yorgunum",109,675,8,304,29,135
"467","MatthieuLyon69",108,185,8,874,16,95
"468","sladen",108,1347,3,385,57,322
"469","SquareCabb",108,3,3,125,0,66
"470","MA_Mapper",107,32,6,432,1,88
"471","Edouard45",106,51,2,2134,379,16802
"472","Hoff1980",106,1773,13,12090,2664,16254
"473","PaulKocialkowski",106,230,3,1911,12,1692
"474","Gelweo",105,63,17,249,14,836
"475","Piwi",105,755,5,148,1,183
"476","Amaury Canivet",104,0,1,104,0,0
"477","batcave",104,847,4,1997,62,1450
"478","magiraud",104,539,24,1110,94,1159
"479","Mickaël Garnier",104,2,2,116,25,95
"480","benito01",103,346,4,775,138,19982
"481","cmi3j89d9o",103,0,1,487,9,1126
"482","legorfou",103,1693,12,2420,60,6537
